eye,channel 2,channel 3,alpha,eye filtered,channel 2 filtered,channel 3 filtered,alpha filtered
9283.1904296875,-15079.208984375,-4656.724609375,-7725.73193359375,-0.4141978121538562,-0.41420856871361306,-0.41420396694700995,-0.4142053219843409
9238.080078125,-15023.3974609375,-4727.41650390625,-7810.447265625,-0.41414182039180636,-0.41429952699645789,-0.41423209528448918,-0.41425197388155904
9167.3974609375,-15213.7978515625,-4851.0966796875,-7909.1953125,-0.41377548799634228,-0.41489482146547252,-0.4144164918448397,-0.41455765322736904
9172.9697265625,-15395.2001953125,-4859.00244140625,-7890.5693359375,-0.41224316391047305,-0.4173864691502488,-0.41518979930433919,-0.4158386653633287
9246.193359375,-15312.5927734375,-4742.0986328125,-7782.4375,-0.40762893314648496,-0.42489751604529302,-0.41752610890347136,-0.41970497549405639
9288.404296875,-15083.0498046875,-4659.26611328125,-7729.5908203125,-0.39695853511338502,-0.44229465574930488,-0.42295072024663366,-0.42867015225432131
9243.5390625,-15020.2255859375,-4723.78369140625,-7797.298828125,-0.37725331193098016,-0.47449387360871215,-0.43301651058679752,-0.44527784731216841
9170.6630859375,-15205.3271484375,-4844.4990234375,-7890.4658203125,-0.34751205992601203,-0.5232343751344839,-0.4482916605868672,-0.47042933901408385
9173.2421875,-15392.5078125,-4857.49658203125,-7880.310546875,-0.3104738333898433,-0.58415586884037307,-0.4674275179806211,-0.50186277255370482
9243.4443359375,-15315.9619140625,-4743.529296875,-7785.1201171875,-0.27270266997890419,-0.64656414685503794,-0.48706462827631353,-0.53403055459203108
9283.369140625,-15086.13671875,-4661.52490234375,-7731.74609375,-0.24242715336939274,-0.69688284130403055,-0.50291155401139687,-0.55990053255024608
9242.0615234375,-15019.7177734375,-4727.529296875,-7803.896484375,-0.22606022249045424,-0.72436911012842009,-0.51155961211090695,-0.57393380356641743
9171.42578125,-15204.9599609375,-4850.654296875,-7898.51318359375,-0.22528573600346119,-0.72601945461901662,-0.51205163159500722,-0.57462401980908029
9175.275390625,-15391.01171875,-4862.390625,-7883.79296875,-0.23634134339922508,-0.7078984390389782,-0.50630865271819747,-0.56515756324294297
9246.126953125,-15314.654296875,-4745.6845703125,-7784.76220703125,-0.25187073666420984,-0.68215400041607621,-0.49817589740381141,-0.55183585113348976
9288.78125,-15085.9765625,-4659.87744140625,-7731.3974609375,-0.26430711029618659,-0.66139041253829189,-0.49163235574753511,-0.54115562123496463
9244.583984375,-15021.0732421875,-4725.70361328125,-7805.10107421875,-0.26902016597424527,-0.65338103908306699,-0.48912269955510845,-0.53709557652602702
9175.1533203125,-15202.7109375,-4847.529296875,-7897.8447265625,-0.26574414723216472,-0.65865209264174152,-0.49080647360539847,-0.53989408479339118
9177.779296875,-15390.8701171875,-4859.87744140625,-7885.51513671875,-0.25782968662099132,-0.67170829936238829,-0.49494990575022496,-0.5466923537015832
9248.7431640625,-15317.03515625,-4745.1103515625,-7786.1083984375,-0.24999281024920456,-0.68475098740413531,-0.49909119875357078,-0.55345084163228098
9294.0615234375,-15085.5810546875,-4658.64453125,-7731.3505859375,-0.24586791378074735,-0.69171498028622247,-0.50130691058438137,-0.55703345258513681
9252.0185546875,-15016.48046875,-4722.17431640625,-7799.59521484375,-0.24655273832317032,-0.69069127440745415,-0.50098291402777961,-0.55646566264395192
9179.51953125,-15199.4921875,-4846.24951171875,-7896.4423828125,-0.25064134327990167,-0.68393159778277557,-0.49882963701428873,-0.55293682955931656
9177.505859375,-15392.16015625,-4862.4375,-7885.8447265625,-0.2554282154455329,-0.67591387564740879,-0.4962742117907511,-0.54878425060882108
9241.2236328125,-15325.2138671875,-4751.689453125,-7791.3505859375,-0.2584683574954813,-0.6707547695005166,-0.49463043501590803,-0.54613691892958471
9285.609375,-15094.96484375,-4663.36962890625,-7740.87548828125,-0.25867975289971695,-0.67031754472977778,-0.49448819656628434,-0.54593778200001886
9246.908203125,-15021.185546875,-4723.26611328125,-7810.63525390625,-0.25656569769975862,-0.67378685368649183,-0.49558203979213167,-0.54774464254510424
9178.6259765625,-15195.33203125,-4844.30126953125,-7892.056640625,-0.25363870043378711,-0.67863242831198767,-0.49710906023467466,-0.55024643673090201
